player_id,player_name,batting_hand,booling_skill,country,dob
93,Dean Jordan,Right-hand bat,None,Pakistan,22-10-2006
94,April Mendez,Left-hand bat,Left-arm medium,Afghanistan,01-12-1992
95,Francisco Mitchell,Right-hand bat,Right-arm offbreak,Sri Lanka,03-05-1991
96,Adrian Mitchell,Right-hand bat,None,New Zealand,03-08-1986
97,Vanessa Moran,Left-hand bat,Left-arm fast,England,03-02-2006
98,Jessica Rodriguez,Left-hand bat,Right-arm offbreak,Afghanistan,19-06-2004
99,Kristen Wright,Left-hand bat,Legbreak,Bangladesh,05-10-2004
100,Jorge Anderson,Right-hand bat,Right-arm medium,Afghanistan,01-07-1997
101,Michael Huff,Left-hand bat,Left-arm fast,South Africa,28-01-2000
102,Johnny Franklin,Left-hand bat,Right-arm offbreak,Pakistan,30-08-2002
103,Angela Kelly,Left-hand bat,Left-arm fast,Afghanistan,19-02-1990
104,Tracy Bennett,Right-hand bat,Right-arm fast,India,16-07-1985
105,Louis Arnold,Right-hand bat,None,India,16-07-2006
106,Tina Farrell,Right-hand bat,Left-arm fast,Sri Lanka,01-02-1989
107,Ashley Gonzales,Right-hand bat,Left-arm medium,Australia,15-11-1990
108,Suzanne Woods,Right-hand bat,Right-arm medium,New Zealand,03-10-1987
109,David Davis,Right-hand bat,Right-arm fast,India,01-01-2006
110,Corey Mccullough,Right-hand bat,Left-arm orthodox,South Africa,27-02-1996
111,Heather Johnson,Right-hand bat,Right-arm offbreak,Afghanistan,16-04-1995
112,Nicholas Brady,Left-hand bat,Left-arm orthodox,West Indies,18-01-1990
113,Ann Higgins,Right-hand bat,Left-arm fast,Bangladesh,21-02-1997
114,Pamela Logan,Right-hand bat,Right-arm medium,Sri Lanka,24-06-1994
115,Tammie Collier,Right-hand bat,None,West Indies,25-11-1986
116,Cynthia Nielsen,Right-hand bat,Left-arm orthodox,Sri Lanka,10-08-1999
117,Todd Davis,Right-hand bat,Right-arm fast,Bangladesh,28-06-2005
118,Kathryn Porter,Left-hand bat,Right-arm offbreak,India,22-06-1992
119,Kayla Jackson,Left-hand bat,None,Afghanistan,28-09-1993
120,Kevin Mccormick,Right-hand bat,Right-arm fast,Australia,16-11-2002
121,Michael Tyler,Left-hand bat,Right-arm offbreak,Pakistan,25-03-1985
122,Justin Jones,Right-hand bat,Right-arm offbreak,India,01-08-1996
123,John Weaver,Right-hand bat,None,Pakistan,04-11-1996
124,Michael Jackson,Left-hand bat,Right-arm medium,Pakistan,08-10-1985
125,Patricia Wall,Left-hand bat,Left-arm medium,New Zealand,06-05-1985
126,Monica Morris,Right-hand bat,Left-arm medium,Bangladesh,08-11-1988
127,Matthew Sharp,Left-hand bat,None,Bangladesh,05-07-1999
128,Gina Norman,Right-hand bat,None,Bangladesh,10-11-1990
129,Joshua Mendoza,Right-hand bat,Right-arm medium,South Africa,05-06-2004
130,Alejandra Chavez,Right-hand bat,Right-arm fast,England,11-12-2003
131,Rachel Underwood,Right-hand bat,Right-arm fast,South Africa,09-11-2005
132,Chris Kirk,Right-hand bat,Right-arm offbreak,Australia,25-02-1999
133,Peter Mclean,Right-hand bat,Right-arm fast,Afghanistan,25-04-1999
134,Jose Ball,Left-hand bat,Left-arm medium,South Africa,19-05-1999
135,Heather Harrison,Right-hand bat,None,West Indies,18-05-1989
136,Dale Burnett,Right-hand bat,Left-arm medium,Sri Lanka,05-10-1989
137,Kristen Willis,Left-hand bat,Left-arm orthodox,New Zealand,10-04-1985
138,Jay Gonzales,Left-hand bat,Right-arm fast,West Indies,30-01-1991
139,Leslie Strickland,Right-hand bat,Right-arm offbreak,South Africa,30-10-2002
140,Dr. Rebecca Lopez,Right-hand bat,Right-arm medium,England,20-11-1985
141,Kimberly Murphy,Left-hand bat,Right-arm offbreak,Pakistan,08-09-2001
142,Kelly Wang,Left-hand bat,None,Afghanistan,04-11-1996
143,Jamie Cook,Left-hand bat,Right-arm medium,South Africa,12-03-1994
144,Michael Montes,Left-hand bat,Legbreak,Sri Lanka,09-01-1998
145,Chad Lee,Right-hand bat,Right-arm medium,Pakistan,04-01-2007
146,John Richardson,Left-hand bat,Right-arm fast,New Zealand,03-05-2005
147,Patricia Lopez,Right-hand bat,Left-arm medium,West Indies,02-03-1985
148,David Martinez,Left-hand bat,Left-arm fast,Sri Lanka,11-09-1996
149,Kelly Cook,Left-hand bat,Left-arm fast,Bangladesh,23-07-1988
150,Elizabeth Cortez,Right-hand bat,Legbreak,Afghanistan,14-06-1988
151,Lisa Taylor,Left-hand bat,Left-arm medium,India,26-05-2002
152,Mark Gamble,Left-hand bat,None,New Zealand,01-03-2001
153,James Velasquez,Left-hand bat,Right-arm offbreak,Afghanistan,03-08-2000
154,Teresa Parker,Right-hand bat,Left-arm fast,India,23-01-2000
155,Jennifer Davis,Right-hand bat,Right-arm offbreak,West Indies,07-10-1993
156,Michael Thompson,Left-hand bat,Left-arm medium,New Zealand,02-06-1986
157,Heather Stout,Left-hand bat,Left-arm orthodox,West Indies,25-08-2002
158,Brittney Morgan,Right-hand bat,Legbreak,England,09-10-2005
159,Roger Taylor,Left-hand bat,Right-arm offbreak,Pakistan,02-03-1986
160,Katherine Brown,Right-hand bat,Left-arm orthodox,South Africa,03-08-2000
161,Julie Scott,Right-hand bat,Legbreak,New Zealand,05-07-1998
162,Daniel Patterson,Left-hand bat,None,Australia,03-02-1990
163,Stephanie Nelson,Left-hand bat,Left-arm fast,Bangladesh,15-02-1999
164,Morgan Lin,Right-hand bat,Left-arm medium,South Africa,27-04-1999
165,John Williams,Left-hand bat,Legbreak,India,20-04-1990
166,Chase Lamb,Right-hand bat,Legbreak,New Zealand,11-06-1986
167,Cameron Cantrell,Right-hand bat,Left-arm orthodox,South Africa,07-11-2005
168,Eric Lee,Left-hand bat,Right-arm medium,Sri Lanka,01-04-1995
169,Andrea Spencer,Right-hand bat,Left-arm orthodox,Sri Lanka,14-12-1990
170,Connie Daniel,Right-hand bat,None,New Zealand,08-08-2000
171,Mario Stevens,Left-hand bat,Left-arm orthodox,South Africa,22-05-2007
172,John Krause,Right-hand bat,Left-arm medium,Sri Lanka,25-06-1985
173,Candice Hoffman,Right-hand bat,Right-arm fast,Sri Lanka,25-11-1998
174,Holly Anderson,Left-hand bat,Left-arm medium,New Zealand,10-11-1987
175,Kaitlyn Fitzgerald,Right-hand bat,Right-arm offbreak,Bangladesh,29-12-1990
176,Michael Hawkins,Left-hand bat,Left-arm fast,Sri Lanka,09-11-1999
177,Richard Delgado,Right-hand bat,Left-arm fast,England,23-08-2000
178,Brenda Berry,Right-hand bat,Right-arm offbreak,Sri Lanka,15-01-1994
179,Kenneth Murray,Right-hand bat,Left-arm fast,Sri Lanka,28-12-2003
180,Kathleen Rangel,Left-hand bat,Left-arm fast,Sri Lanka,06-07-1993
181,Dan Bryant,Left-hand bat,Right-arm offbreak,India,07-04-1987
182,Monique Mcgee,Right-hand bat,Right-arm offbreak,South Africa,15-08-2001
183,Cesar Stewart,Left-hand bat,Left-arm orthodox,Afghanistan,22-12-2004
184,Stephanie Hoffman,Left-hand bat,None,Australia,02-05-1989
185,Austin Cooper,Right-hand bat,Right-arm offbreak,New Zealand,05-04-1999
186,Ashley Lee,Right-hand bat,Right-arm fast,Sri Lanka,20-10-1999
187,Shannon Johnson,Left-hand bat,Left-arm medium,England,13-06-1985
188,Jeffrey Lawrence,Right-hand bat,Right-arm medium,New Zealand,28-08-1989
189,Mr. Nathan Martin,Right-hand bat,Right-arm fast,West Indies,14-04-1985
190,Debra Montoya,Left-hand bat,Left-arm fast,West Indies,23-09-1986
191,Maria Landry,Left-hand bat,Right-arm medium,Australia,19-01-2002
192,Derrick Jones,Right-hand bat,Right-arm fast,West Indies,29-07-1996
193,Tiffany Meyers,Right-hand bat,Legbreak,Sri Lanka,17-07-1986
194,William Johnson,Right-hand bat,Right-arm fast,South Africa,24-09-2003
195,Don Wright,Left-hand bat,Right-arm offbreak,Australia,10-11-2001
196,Jamie Gutierrez,Right-hand bat,Right-arm medium,Pakistan,15-06-1997
197,Holly Hernandez,Left-hand bat,Left-arm medium,England,14-04-1994
198,Christopher Ramirez,Right-hand bat,Left-arm orthodox,New Zealand,22-05-1990
199,Todd Skinner,Left-hand bat,Right-arm fast,Sri Lanka,21-10-2004
200,Daniel Martinez,Left-hand bat,Legbreak,Pakistan,04-01-2005
